iter	RMSE
396	48334.00027
397	48275.30358
398	48149.48991
399	48117.71228
400	48109.54734
401	48107.61152
402	48105.67899
403	48074.58392
404	47989.16142
405	47938.36586
406	47874.29147
407	47842.70088
408	47824.09817
409	47776.85645
410	47775.58926
411	47726.68068
412	47678.60339
413	47660.45594
414	47616.74292
415	47558.44657
416	47528.9629
417	47492.47086
418	47481.26198
419	47445.32135
420	47416.99322
421	47381.241
422	47354.42962
423	47308.13074
424	47263.67673
425	47230.87555
426	47177.49816
427	47106.79301
428	46984.16771
429	46904.1543
430	46875.38337
431	46857.59058
432	46815.69236
433	46773.16212
434	46744.75297
435	46718.53897
436	46671.28807
437	46658.03489
438	46626.76539
439	46563.32845
440	46555.15199
441	46487.03664
442	46458.10178
443	46436.76029
444	46321.49422
445	46226.82035
446	46225.12248
447	46201.86145
448	46183.341
449	46124.997
450	46061.36223
451	46043.5438
452	46041.99933
453	46036.70489
454	45955.05781
455	45911.98403
456	45858.72707
457	45775.88819
458	45745.67383
459	45743.22146
460	45703.90127
461	45701.51236
462	45660.57736
463	45636.22639
464	45632.93187
465	45593.06249
466	45560.29231
467	45535.11085
468	45515.82727
469	45475.17692
470	45398.74681
471	45371.80236
472	45351.69503
473	45350.28638
474	45326.78514
475	45297.93896
476	45277.77037
477	45222.1388
478	45200.13696
479	45095.57841
480	45077.89281
481	45076.4074
482	44970.72381
483	44969.2999
484	44941.84582
485	44939.7676
486	44938.96861
487	44937.64792
488	44895.25535
489	44893.91175
490	44855.60716
491	44853.95472
492	44814.96856
493	44797.20753
494	44775.131
495	44743.58004
496	44662.12036
497	44644.57783
498	44625.55946
499	44614.66445
500	44543.5785
501	44470.32247
502	44468.29846
503	44467.0668
504	44432.54374
505	44431.28959
506	44415.86235
507	44407.54857
508	44406.37981
509	44403.20654
510	44402.05581
511	44350.85895
512	44329.01294
513	44268.65302
514	44247.30016
515	44241.34591
516	44221.23716
517	44187.55966
518	44137.1061
519	44043.40404
520	43945.56821
521	43890.65618
522	43883.23734
523	43807.37439
524	43795.05507
525	43719.8884
526	43657.07761
527	43645.88333
528	43619.74474
529	43600.18295
530	43560.77742
531	43537.94584
532	43525.79489
533	43506.61705
534	43459.38425
535	43448.11906
536	43395.9412
537	43308.97455
538	43250.99149
539	43227.55518
540	43211.19804
541	43210.22497
542	43191.99218
543	43177.73562
544	43118.32462
545	43085.87689
546	43057.83604
547	43040.43169
548	43018.53229
549	43007.6134
550	43003.02204
551	42976.89966
552	42896.97228
553	42820.04753
554	42802.91216
555	42760.17863
556	42751.38287
557	42697.92819
558	42645.92784
559	42629.33745
560	42617.34676
561	42543.43628
562	42508.84613
563	42410.35353
564	42389.48503
565	42357.60902
566	42305.79799
567	42268.73516
568	42238.31013
569	42231.81436
570	42199.6584
571	42139.9147
572	42136.18321
573	42120.3372
574	42093.35408
575	42080.54411
576	42039.49452
577	42011.17773
578	41988.03251
579	41970.60338
580	41931.17381
581	41863.89795
582	41803.11497
583	41802.14616
584	41790.14397
585	41637.3917
586	41580.77277
587	41559.28225
588	41541.29859
589	41463.02756
590	41435.79679
591	41417.67868
592	41408.6395
593	41376.27874
594	41354.37489
595	41300.82885
596	41255.35045
597	41249.52317
598	41213.69652
599	41212.7286
600	41186.64871
601	41177.39857
602	41160.45409
603	41145.13185
604	41093.66432
605	41020.29918
606	41019.30629
607	40998.75814
608	40978.43744
609	40967.01494
610	40906.59688
611	40903.64525
612	40864.09459
613	40846.64641
614	40831.90854
615	40813.91858
616	40723.05157
617	40722.15866
618	40714.47712
619	40687.98809
620	40676.19828
621	40675.35859
622	40672.2322
623	40671.18965
624	40670.67375
625	40654.70422
626	40626.45244
627	40586.79232
628	40582.58829
629	40572.2971
630	40525.95505
631	40471.35111
632	40457.04169
633	40456.55313
634	40448.7439
635	40427.30225
636	40416.00902
637	40379.82796
638	40329.49691
639	40315.56987
640	40279.92833
641	40279.19599
642	40278.43007
643	40255.73866
644	40212.43774
645	40157.43409
646	40106.29044
647	40046.31113
648	39986.38657
649	39919.65171
650	39836.22529
651	39824.09213
652	39799.85356
653	39780.38195
654	39724.08293
655	39706.27077
656	39666.67488
657	39654.1584
658	39622.65239
659	39569.46106
660	39547.28179
661	39540.56681
662	39526.35145
663	39489.74023
664	39476.14923
665	39455.46694
666	39400.13727
667	39394.99209
668	39382.69746
669	39363.35441
670	39328.35562
671	39296.86145
672	39285.34931
673	39256.01925
674	39215.64127
675	39214.22432
676	39195.01034
677	39174.30713
678	39162.70363
679	39133.01843
680	39100.39245
681	39085.14746
682	39076.63533
683	39056.35593
684	39041.6566
685	39023.65873
686	38983.83116
687	38976.50957
688	38953.24104
689	38900.27208
690	38882.89318
691	38849.42166
692	38836.52224
693	38826.96021
694	38815.99673
695	38763.496
696	38700.66654
697	38631.7889
698	38622.69508
699	38588.84625
700	38546.58675
701	38545.99994
702	38494.13221
703	38476.33595
704	38441.11023
705	38432.6042
706	38428.05992
707	38418.50165
708	38407.44671
709	38403.77023
710	38391.15039
711	38377.29905
712	38376.4355
713	38350.69517
714	38315.22773
715	38298.53429
716	38260.86156
717	38249.92747
718	38213.12224
719	38185.95952
720	38158.76067
721	38145.38431
722	38144.67557
723	38130.96931
724	38127.03228
725	38112.48837
726	38091.03533
727	38050.98131
728	38047.41979
729	38024.98613
730	37959.55764
731	37924.27803
732	37878.54982
733	37874.30907
734	37863.80292
735	37813.77018
736	37787.81064
737	37764.96143
738	37738.53534
739	37621.63149
740	37606.34969
741	37596.88242
742	37586.23108
743	37560.64486
744	37519.35305
745	37488.34966
746	37473.53577
747	37458.35892
748	37398.13916
749	37369.71422
750	37359.48875
751	37334.75543
752	37322.73239
753	37300.16252
754	37267.72346
755	37229.87079
756	37225.07723
757	37221.35698
758	37203.07415
759	37200.14011
760	37199.5134
761	37197.59549
762	37105.41105
763	37058.84485
764	37038.43489
765	37021.7609
766	36962.50089
767	36958.86652
768	36941.39609
769	36906.36002
770	36883.58443
771	36825.35018
772	36795.71049
773	36779.61265
774	36752.96717
775	36724.91824
776	36722.87436
777	36717.93009
778	36708.41551
779	36653.3435
780	36652.22038
781	36641.95843
782	36640.67535
783	36637.54364
784	36583.94521
785	36583.22043
786	36580.48853
787	36536.08998
788	36525.13408
789	36509.00857
790	36504.95097
791	36490.99996
792	36472.49873
793	36436.71507
794	36436.23684
795	36414.61346
796	36405.30811
797	36391.77648
798	36381.66262
799	36377.08055
800	36368.40967
801	36357.14401
802	36340.18567
803	36338.72826
804	36317.59852
805	36317.18492
806	36306.83055
807	36306.44306
808	36291.89751
809	36255.40404
810	36236.43345
811	36224.81958
812	36201.42146
813	36164.44521
814	36161.92073
815	36155.17382
816	36145.92477
817	36135.41331
818	36129.74813
819	36105.52144
820	36087.48555
821	36073.13178
822	36061.4552
823	36060.80607
824	36024.59156
825	35985.77693
826	35929.79653
827	35907.26915
828	35886.99399
829	35834.81911
830	35763.10692
831	35736.69792
832	35699.54466
833	35630.73917
834	35603.39085
835	35595.03818
836	35592.14929
837	35570.60837
838	35555.02329
839	35515.70059
840	35505.1982
841	35462.73931
842	35434.08852
843	35422.66044
844	35401.35472
845	35400.99345
846	35392.29783
847	35386.82374
848	35385.13206
849	35318.3816
850	35305.04388
851	35273.53814
852	35235.98566
853	35213.54578
854	35207.28071
855	35181.6442
856	35173.08956
857	35168.81485
858	35126.93082
859	35102.17416
860	35065.54679
861	35061.1698
862	35034.32546
863	35004.52749
864	35003.72097
865	34993.16932
866	34978.33824
867	34973.85772
868	34969.21839
869	34960.37322
870	34946.59585
871	34916.39466
872	34912.55697
873	34904.84605
874	34889.0851
875	34875.34762
876	34866.88512
877	34840.18708
878	34837.26725
879	34820.22803
880	34768.66104
881	34727.19916
882	34720.04589
883	34667.6405
884	34653.5896
885	34615.7021
886	34604.19113
887	34602.15567
888	34588.68461
889	34576.31653
890	34562.07098
891	34522.91781
892	34513.39036
893	34496.36417
894	34475.60455
895	34467.12932
896	34457.32887
897	34450.4809
898	34437.05593
899	34430.04106
900	34429.5968
901	34416.53423
902	34389.42125
903	34349.40774
904	34339.88459
905	34323.27754
906	34312.61464
907	34311.1777
908	34306.41339
909	34272.60642
910	34261.61067
911	34241.89549
912	34236.52636
913	34204.79829
914	34174.8426
915	34159.74822
916	34125.35625
917	34120.86645
918	34111.60591
919	34107.93338
920	34090.45799
921	34080.47769
922	34057.87449
923	34045.10223
924	34036.84937
925	33996.76941
926	33977.72949
927	33970.89065
928	33944.85164
929	33939.77599
930	33916.1594
931	33912.64045
932	33900.69687
933	33822.2438
934	33789.16969
935	33788.68021
936	33715.83199
937	33660.25837
938	33622.76459
939	33618.61928
940	33599.06149
941	33589.45677
942	33585.70688
943	33553.41248
944	33514.10001
945	33487.07535
946	33439.82765
947	33432.23676
948	33429.15207
949	33422.32796
950	33409.57193
951	33388.23915
952	33353.09527
953	33319.44794
954	33274.21951
955	33270.99041
956	33249.21601
957	33214.0397
958	33213.60676
959	33203.98865
960	33182.06616
961	33173.28646
962	33141.47176
963	33110.57621
964	33101.04661
965	33097.59721
966	33081.39388
967	33061.98429
968	33058.48935
969	33057.64502
970	33012.45924
971	32964.62152
972	32922.05832
973	32908.18359
974	32865.45306
975	32846.99165
976	32846.67174
977	32812.39459
978	32776.44252
979	32772.721
980	32772.27443
981	32770.36242
982	32746.04877
983	32728.78259
984	32717.55301
985	32704.3128
986	32699.89455
987	32694.74322
988	32674.61954
989	32667.0442
990	32663.10212
991	32641.63345
992	32608.29472
993	32595.14644
994	32590.84488
995	32588.81028
996	32558.01005
997	32534.05077
998	32516.88418
999	32474.30109
